--------- beginning of /dev/log/main
04-26 16:25:48.639 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 32 column: 16 source: "	-moz-box-shadow: none!important; "}]
04-26 16:25:48.649 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 56 column: 19 source: "	background-image: -webkit-gradient(linear,left top,left bottom,from( #161616 28% ),to( #393a3a 64% ));"}]
04-26 16:25:48.659 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 57 column: 19 source: "	background-image: -webkit-linear-gradient( #161616 28%,#393a3a 64% );"}]
04-26 16:25:48.659 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 59 column: 19 source: "	background-image: -ms-linear-gradient( #161616 28%,#393a3a 64% );"}]
04-26 16:25:48.659 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 60 column: 19 source: "	background-image: -o-linear-gradient( #161616 28%,#393a3a 64% );"}]
04-26 16:25:48.659 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 65 column: 16 source: "	-moz-box-shadow: 0 -0.2em 10px rgba(0, 0, 0, 0.6);"}]
04-26 16:25:48.659 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 70 column: 16 source: "	-moz-box-shadow: inset 0 8px 8px -8px rgba(255, 255, 255, 0.3);"}]
04-26 16:25:48.659 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 81 column: 16 source: "	-moz-box-shadow: 0 2px 2px 0px rgba(0, 0, 0, 0.3);"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 90 column: 19 source: "	-moz-border-radius: 3px;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 161 column: 11 source: "	box-sizing: border-box;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 191 column: 11 source: "	box-sizing:border-box!important;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 224 column: 11 source: "	box-sizing:border-box;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius-topleft'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 239 column: 27 source: "	-moz-border-radius-topleft: 3px;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius-topright'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 244 column: 28 source: "	-moz-border-radius-topright: 3px;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 260 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,rgba(0, 0, 0, 0.3)), color-stop(100%,transparent));"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 261 column: 13 source: "	background: -webkit-linear-gradient(top, rgba(0, 0, 0, 0.3) 0%,transparent 100%);"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 262 column: 13 source: "	background: -o-linear-gradient(top, rgba(0, 0, 0, 0.3) 0%,transparent 100%);"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 263 column: 13 source: "	background: -ms-linear-gradient(top, rgba(0, 0, 0, 0.3) 0%,transparent 100%);"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 265 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#a6000000', endColorstr='#00000000',GradientType=0 );"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 267 column: 16 source: "	-moz-box-shadow: inset 0 7px 30px 0 rgba(0,0,0,0.5);"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 272 column: 16 source: "	-moz-box-shadow: inset 0 7px 30px 0 rgba(0,0,0,0.5);"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 281 column: 19 source: "	-moz-border-radius: 0;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius-bottomright'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 285 column: 31 source: "	-moz-border-radius-bottomright: 0;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius-bottomleft'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 290 column: 30 source: "	-moz-border-radius-bottomleft: 0;"}]
04-26 16:25:48.679 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-top-left-radius'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 296 column: 28 source: "	-moz-border-top-left-radius: 0;"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Expected media feature name but found '-webkit-min-device-pixel-ratio'." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 350 column: 44 source: "@media only screen and (min-width: 640px), (-webkit-min-device-pixel-ratio: 2)  {"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 447 column: 12 source: "		box-sizing: border-box;"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Expected declaration but found '/'.  Skipped to next declaration." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 633 column: 30 source: "	border-bottom:1px solid #CCC;/	"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 643 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,rgba(255,255,255,1)), color-stop(100%,rgba(229,229,229,1))); /* Chrome,Safari4+ */"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 644 column: 13 source: "	background: -webkit-linear-gradient(top, rgba(255,255,255,1) 0%,rgba(229,229,229,1) 100%); /* Chrome10+,Safari5.1+ */"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 645 column: 13 source: "	background: -o-linear-gradient(top, rgba(255,255,255,1) 0%,rgba(229,229,229,1) 100%); /* Opera 11.10+ */"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 646 column: 13 source: "	background: -ms-linear-gradient(top, rgba(255,255,255,1) 0%,rgba(229,229,229,1) 100%); /* IE10+ */"}]
04-26 16:25:48.699 E/GeckoConsole(  950): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 648 column: 9 source: "	filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#ffffff', endColorstr='#e5e5e5',GradientType=0 ); /* IE6-9 */"}]
04-26 16:25:48.709 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main.css" line: 813 column: 11 source: "	box-sizing:border-box;"}]
04-26 16:25:48.709 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 12 column: 21 source: "			background-image: -webkit-gradient(linear, left top, left bottom, color-stop(54%,rgba(255,255,255,1)), color-stop(55%,rgba(245,245,245,1)), color-stop(100%,rgba(240,240,240,1)));"}]
04-26 16:25:48.709 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 13 column: 21 source: "			background-image: -webkit-linear-gradient(top,  rgba(255,255,255,1) 54%,rgba(245,245,245,1) 55%,rgba(240,240,240,1) 100%);"}]
04-26 16:25:48.709 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 14 column: 21 source: "			background-image: -o-linear-gradient(top,  rgba(255,255,255,1) 54%,rgba(245,245,245,1) 55%,rgba(240,240,240,1) 100%);"}]
04-26 16:25:48.709 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 15 column: 21 source: "			background-image: -ms-linear-gradient(top,  rgba(255,255,255,1) 54%,rgba(245,245,245,1) 55%,rgba(240,240,240,1) 100%);"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 17 column: 11 source: "			filter: progid:DXImageTransform.Microsoft.gradient( startColorstr='#ffffff', endColorstr='#f0f0f0',GradientType=0 );"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Expected ',' or '{' but found '/'.  Ruleset ignored due to bad selector." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 110 column: 4 source: "		}*/"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-smartphone.css" line: 150 column: 13 source: "			box-sizing: border-box;"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-tablet.css" line: 71 column: 12 source: "		box-sizing:border-box;"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-tablet.css" line: 76 column: 12 source: "		box-sizing:border-box;"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-tablet.css" line: 97 column: 19 source: "	-moz-border-radius: 3px;"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-tablet.css" line: 107 column: 13 source: "	background: -webkit-gradient(linear, left top, left bottom, color-stop(0%,#fbfbfb), color-stop(100%,#ededed));"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-tablet.css" line: 108 column: 13 source: "	background: -webkit-linear-gradient(top, #fbfbfb 0%,#ededed 100%);"}]
04-26 16:25:48.719 E/GeckoConsole(  950): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "http://goi.sportv.utouchlabs.com/core/css/main-tablet.css" line: 109 column: 13 source: "	background: -o-linear-gradient(top, #fbfbfb 0%,#ededed 100%);"}]
