--------- beginning of /dev/log/main
05-22 02:45:13.652 I/Gecko   (   83): 1400751913670	Marionette	INFO	Switched to frame: {"frameValue":"{7cb31a47-258a-4a58-8dd1-9f790cfc4d90}"}
05-22 02:45:13.672 I/Gecko   (   83): 1400751913685	Marionette	INFO	trying remote frame 0
05-22 02:45:13.672 I/Gecko   (   83): 1400751913686	Marionette	INFO	trying remote frame 1
05-22 02:45:13.672 I/Gecko   (   83): 1400751913687	Marionette	INFO	trying remote frame 2
05-22 02:45:13.682 I/Gecko   (   83): 1400751913698	Marionette	INFO	frame-manager load script: [object ChromeMessageSender]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 459 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'appearance'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 493 column: 12 source: "  appearance: button;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 520 column: 20 source: "  -moz-border-radius: 2px;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-background-size'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 532 column: 22 source: "  -moz-background-size: 16px 16px;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 536 column: 17 source: "  -moz-box-shadow: rgba(0, 0, 0, 0.15) 0 0 2px;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 654 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.112 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 672 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 692 column: 20 source: "  -moz-border-radius: 17px;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 698 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 715 column: 17 source: "  -moz-box-shadow: rgba(0, 0, 0, 0.15) 0 0 2px;"}]
