--------- beginning of /dev/log/main
04-26 12:13:36.915 I/GonkMemoryPressure( 1775): Memory pressure is over.
04-26 12:13:36.925 I/GonkMemoryPressure(   83): Checking to see if memory pressure is over.
04-26 12:13:37.005 I/GonkMemoryPressure( 1829): Memory pressure is over.
04-26 12:13:37.815 I/Gecko   ( 1775): SharedSurface_Gralloc::Create -------
04-26 12:13:37.925 I/Gecko   ( 1775): SharedSurface_Gralloc::Create: success -- surface 0x481f8d80, GraphicBuffer 0x44275180.
04-26 12:13:38.595 I/Gecko   ( 1775): [SharedSurface_Gralloc 0x44527100] destroyed
04-26 12:13:39.595 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:44.605 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:47.005 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a10, header: 0xd94388, iRefCount: 0
04-26 12:13:47.005 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91470, header: 0xd92790, iRefCount: 0
04-26 12:13:47.005 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90408, header: 0xd93a18, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb18, header: 0xd91550, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb20, header: 0xd93228, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb28, header: 0xd94e18, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91478, header: 0xd93908, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d88, header: 0xd92ef8, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d90, header: 0xd94d08, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d98, header: 0xd966b0, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a0, header: 0xd904f0, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff38, header: 0xd8f338, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a8, header: 0xd91770, iRefCount: 0
04-26 12:13:47.015 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909b0, header: 0xd92d08, iRefCount: 0
04-26 12:13:47.025 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e0, header: 0xd87f70, iRefCount: 0
04-26 12:13:47.025 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e8, header: 0xd89268, iRefCount: 0
04-26 12:13:47.025 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909b8, header: 0xd93790, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888f0, header: 0xd8a2e8, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff40, header: 0xd90d28, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94e90, header: 0xd93b20, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94e98, header: 0xd952c0, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94ea0, header: 0xd96828, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94ea8, header: 0xd969a0, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8c9f8, header: 0xd90828, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca00, header: 0xd91c78, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca08, header: 0xd92b90, iRefCount: 0
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff48, header: 0xd93118, iRefCount: 0
