--------- beginning of /dev/log/main
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3056 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'user-select'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3061 column: 13 source: "  user-select: none;"}]
04-26 06:27:35.742 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3066 column: 12 source: "  box-sizing: border-box;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Expected media feature name but found '-webkit-min-device-pixel-ratio'." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3078 column: 46 source: "  @media (min--moz-device-pixel-ratio: 1.5), (-webkit-min-device-pixel-ratio: 1.5), (min-device-pixel-ratio: 1.5), (min-resolution: 144dpi), (min-resolution: 1.5dppx) {"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Expected media feature name but found 'min-device-pixel-ratio'." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3078 column: 85 source: "  @media (min--moz-device-pixel-ratio: 1.5), (-webkit-min-device-pixel-ratio: 1.5), (min-device-pixel-ratio: 1.5), (min-resolution: 144dpi), (min-resolution: 1.5dppx) {"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3430 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3431 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3433 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3434 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex-direction'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3439 column: 21 source: "  -moz-flex-direction: horizontal;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'flex-direction'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3441 column: 18 source: "  flex-direction: horizontal;"}]
04-26 06:27:35.752 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-justify-content'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3445 column: 22 source: "  -moz-justify-content: center;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Expected media feature name but found '-webkit-min-device-pixel-ratio'." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3505 column: 46 source: "  @media (min--moz-device-pixel-ratio: 1.5), (-webkit-min-device-pixel-ratio: 1.5), (min-device-pixel-ratio: 1.5), (min-resolution: 144dpi), (min-resolution: 1.5dppx) {"}]
